time,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,temp_c
2025-09-22T21:18:15.623401,-8.29,-0.66,-5.63,0.04,0.03,-0.0,29.67
2025-09-22T21:18:15.729974,-8.28,-0.68,-5.62,0.05,0.02,-0.01,29.66
2025-09-22T21:18:15.850564,-8.27,-0.62,-5.66,0.05,0.03,0.0,29.66
2025-09-22T21:18:15.954006,-8.27,-0.68,-5.65,0.04,0.03,0.0,29.67
2025-09-22T21:18:16.052656,-8.28,-0.64,-5.63,0.05,0.03,0.0,29.68
2025-09-22T21:18:16.183857,-8.29,-0.65,-5.62,0.04,0.03,-0.0,29.67
2025-09-22T21:18:16.306739,-8.26,-0.65,-5.62,0.05,0.03,-0.0,29.65
2025-09-22T21:18:16.349021,-8.28,-0.62,-5.62,0.05,0.03,-0.0,29.67
2025-09-22T21:18:16.445785,-8.28,-0.66,-5.63,0.04,0.03,0.0,29.67
2025-09-22T21:18:16.549462,-8.26,-0.65,-5.63,0.05,0.03,0.0,29.65
2025-09-22T21:18:16.655238,-8.27,-0.64,-5.64,0.04,0.03,-0.0,29.67
2025-09-22T21:18:16.756351,-8.27,-0.62,-5.64,0.04,0.04,0.0,29.66
2025-09-22T21:18:16.858808,-8.3,-0.71,-5.56,0.04,0.03,0.0,29.69
2025-09-22T21:18:16.962311,-8.26,-0.67,-5.65,0.1,-0.03,-0.05,29.67
2025-09-22T21:18:17.064878,-8.23,-0.63,-5.68,0.02,0.06,0.02,29.67
2025-09-22T21:18:17.168831,-8.27,-0.72,-5.63,0.04,0.03,-0.0,29.66
2025-09-22T21:18:17.270806,-8.34,-0.54,-5.61,0.06,0.02,-0.01,29.66
2025-09-22T21:18:17.373582,-8.28,-0.66,-5.66,0.04,0.03,0.0,29.66
2025-09-22T21:18:17.477313,-8.26,-0.66,-5.67,0.06,0.02,-0.01,29.67
2025-09-22T21:18:17.578892,-8.28,-0.59,-5.64,0.04,0.04,0.0,29.66
2025-09-22T21:18:17.682808,-8.25,-0.69,-5.64,0.04,0.03,-0.0,29.67
2025-09-22T21:18:17.786825,-8.27,-0.61,-5.65,0.06,0.02,-0.01,29.66
2025-09-22T21:18:17.889310,-8.27,-0.63,-5.65,0.04,0.03,0.0,29.67
2025-09-22T21:18:17.992320,-8.25,-0.68,-5.68,0.05,0.03,-0.0,29.69
2025-09-22T21:18:18.095313,-8.29,-0.6,-5.61,0.04,0.03,-0.0,29.66
2025-09-22T21:18:18.198368,-8.27,-0.68,-5.65,0.04,0.03,-0.0,29.67
2025-09-22T21:18:18.324625,-8.29,-0.63,-5.64,0.06,0.02,-0.0,29.67
2025-09-22T21:18:18.403594,-8.28,-0.66,-5.65,0.05,0.03,0.0,29.66
2025-09-22T21:18:18.534901,-8.27,-0.67,-5.66,0.05,0.03,-0.0,29.67
2025-09-22T21:18:18.612256,-8.27,-0.63,-5.62,0.04,0.03,-0.0,29.68
2025-09-22T21:18:18.712794,-8.26,-0.67,-5.63,0.05,0.03,0.0,29.67
2025-09-22T21:18:18.822085,-8.28,-0.62,-5.65,0.05,0.03,-0.0,29.67
2025-09-22T21:18:18.923779,-8.27,-0.65,-5.66,0.05,0.03,0.0,29.67
2025-09-22T21:18:19.035098,-8.28,-0.66,-5.68,0.05,0.03,0.0,29.68
2025-09-22T21:18:19.125807,-8.29,-0.65,-5.64,0.04,0.03,-0.0,29.68
2025-09-22T21:18:19.228853,-8.28,-0.65,-5.61,0.04,0.03,-0.0,29.68
2025-09-22T21:18:19.330936,-8.26,-0.63,-5.64,0.05,0.03,-0.0,29.66
2025-09-22T21:18:19.435447,-8.28,-0.65,-5.6,0.05,0.03,0.0,29.65
2025-09-22T21:18:19.537806,-8.28,-0.65,-5.67,0.05,0.03,-0.0,29.67
2025-09-22T21:18:19.642512,-8.27,-0.63,-5.67,0.04,0.03,0.0,29.67
2025-09-22T21:18:19.743290,-8.28,-0.65,-5.66,0.04,0.03,-0.0,29.67
2025-09-22T21:18:19.846296,-8.27,-0.63,-5.62,0.05,0.03,-0.0,29.66
2025-09-22T21:18:19.950913,-8.27,-0.64,-5.66,0.05,0.03,-0.0,29.68
2025-09-22T21:18:20.055236,-8.27,-0.65,-5.67,0.05,0.03,-0.0,29.66
2025-09-22T21:18:20.155798,-8.27,-0.64,-5.64,0.04,0.03,0.0,29.67
2025-09-22T21:18:20.258795,-8.27,-0.65,-5.67,0.04,0.03,0.0,29.67
2025-09-22T21:18:20.361325,-8.26,-0.64,-5.63,0.05,0.03,-0.0,29.67
2025-09-22T21:18:20.464795,-8.28,-0.63,-5.65,0.05,0.03,-0.0,29.67
2025-09-22T21:18:20.570040,-8.28,-0.64,-5.62,0.05,0.03,-0.0,29.68
2025-09-22T21:18:20.672177,-8.28,-0.65,-5.63,0.05,0.03,-0.0,29.67
2025-09-22T21:18:20.786915,-8.28,-0.64,-5.65,0.05,0.03,-0.0,29.67
2025-09-22T21:18:20.877341,-8.27,-0.58,-5.63,0.04,0.03,0.0,29.68
2025-09-22T21:18:20.979301,-8.27,-0.66,-5.64,0.04,0.03,0.0,29.68
2025-09-22T21:18:21.082319,-8.26,-0.68,-5.61,0.05,0.03,-0.0,29.67
2025-09-22T21:18:21.187182,-8.3,-0.6,-5.63,0.04,0.03,0.01,29.68
